Case 1: 2
Case 2: 2/9
Case 3: 0
Case 4: 8 3/15
Case 5: 13 520199/835266
Case 6: 1199841/2009073
Case 7: 4 919223/5852947
Case 8: 4 5386466/6979877
Case 9: 5 759828/3080005
Case 10: 272012/5336926
Case 11: 3 3251676/6610879
Case 12: 11 1326390/1853768
Case 13: 3 2932297/6236121
Case 14: 3 1315122/6055446
Case 15: 8 1773020/2348982
Case 16: 5 1104498/1159876
Case 17: 4 2781431/3871626
Case 18: 4 3420082/3796845
Case 19: 4 3998456/5210652
Case 20: 7 1557974/4234426
Case 21: 4 3650767/3754512
Case 22: 3 2706553/3126773
Case 23: 85 205771/293373
Case 24: 5 643834/3055809
Case 25: 5 2654995/4230314
Case 26: 3 67072/4108182
Case 27: 9 1249167/3249662
Case 28: 1 1726191/4601787
Case 29: 9 584477/2047467
Case 30: 22 559221/822441
Case 31: 981690/8335840
Case 32: 1 2308157/2398735
Case 33: 1 1325150/4480768
Case 34: 3 1973338/3030087
Case 35: 3 6304414/7229035
Case 36: 5 3076971/5784674
Case 37: 6 818283/1274236
Case 38: 1 2933976/3970276
Case 39: 3 2835546/6283749
Case 40: 2 2293865/4086285
Case 41: 7 2411549/3504185
Case 42: 3 2254098/6707254
Case 43: 19 292564/729353
Case 44: 2 4621205/4843248
Case 45: 7 3708829/3725183
Case 46: 5 3405335/3705953
Case 47: 48 266345/656930
Case 48: 14 481280/2351416
Case 49: 1 6847951/7697517
Case 50: 5 821957/6373255
Case 51: 3 433442/2802347
Case 52: 5504550/5980180
Case 53: 2 2258186/7104440
Case 54: 7 291441/2518654
Case 55: 9 415250/1851270
Case 56: 1298 7162/17197
Case 57: 3 3889851/4009484
Case 58: 2 2505099/7474351
Case 59: 4 5434395/6743353
Case 60: 14 2048497/2237377
Case 61: 11 1110700/2036596
Case 62: 1 53090/7832875
Case 63: 31 124226/1070248
Case 64: 3 5705402/6681189
Case 65: 1954923/6231951
Case 66: 697488/6038052
Case 67: 3 2370717/5361452
Case 68: 1 3026248/7582377
Case 69: 12 36076/1464870
Case 70: 2580623/6743447
Case 71: 4 5781761/6061127
Case 72: 5 712590/3082137
Case 73: 2 3659558/3760373
Case 74: 1 1565814/5834469
Case 75: 3 4906401/5486536
Case 76: 3 2353460/8052623
Case 77: 5 73278/4504292
Case 78: 1 5241438/7019765
Case 79: 63 101878/199357
Case 80: 3 3461914/6087695
Case 81: 15 662327/1644773
Case 82: 8 863002/1842291
Case 83: 16 1128262/1977321
Case 84: 2 6708232/7771669
Case 85: 1 5850803/8366995
Case 86: 3 3032856/3257208
Case 87: 5 3527630/3713820
Case 88: 1 6633567/7552010
Case 89: 4 722224/1139128
Case 90: 3 2641080/6897640
Case 91: 7 1157103/4336275
Case 92: 14 512359/1928650
Case 93: 1 5285372/7772445
Case 94: 1 990726/4570083
Case 95: 2 1768836/5950618
Case 96: 3 6772067/7167800
Case 97: 25 228004/1005398
Case 98: 23 895321/1404737
Case 99: 2465198/4071411
Case 100: 2 2486542/4820413
Case 101: 111 86035/232278
Case 102: 7 1984743/3427547
Case 103: 10 407643/1519699
Case 104: 5643420/7142474
